,Module,Features,GeneName,CellType
1,BcellM10,ENSG00000204389,HSPA1A,Bcell
2,BcellM10,ENSG00000114021,NIT2,Bcell
3,BcellM10,ENSG00000126773,PCNXL4,Bcell
4,BcellM10,ENSG00000010404,IDS,Bcell
5,BcellM10,ENSG00000125637,PSD4,Bcell
6,BcellM10,ENSG00000161970,RPL26,Bcell
7,BcellM10,ENSG00000117362,APH1A,Bcell
8,BcellM10,ENSG00000131374,TBC1D5,Bcell
9,BcellM10,ENSG00000005483,MLL5,Bcell
10,BcellM10,ENSG00000145022,TCTA,Bcell
11,BcellM10,ENSG00000134419,RPS15A,Bcell
12,BcellM10,ENSG00000135018,UBQLN1,Bcell
13,BcellM10,ENSG00000110711,AIP,Bcell
14,BcellM10,ENSG00000100246,DNAL4,Bcell
15,BcellM10,ENSG00000063177,RPL18,Bcell
16,BcellM10,ENSG00000129534,MIS18BP1,Bcell
17,BcellM10,ENSG00000197958,RPL12,Bcell
18,BcellM10,ENSG00000126091,ST3GAL3,Bcell
19,BcellM10,ENSG00000237111,IGHJ3P,Bcell
20,BcellM10,ENSG00000005469,CROT,Bcell
21,BcellM10,ENSG00000173020,ADRBK1,Bcell
22,BcellM10,ENSG00000159884,CCDC107,Bcell
23,BcellM10,ENSG00000203710,CR1,Bcell
24,BcellM10,ENSG00000196437,ZNF569,Bcell
25,BcellM10,ENSG00000196693,ZNF33B,Bcell
26,BcellM10,ENSG00000139154,AEBP2,Bcell
27,BcellM10,ENSG00000177565,TBL1XR1,Bcell
28,BcellM10,ENSG00000173581,CCDC106,Bcell
29,BcellM10,ENSG00000159921,GNE,Bcell
30,BcellM10,ENSG00000198677,TTC37,Bcell
31,BcellM10,ENSG00000063244,U2AF2,Bcell
32,BcellM10,ENSG00000041988,THAP3,Bcell
33,BcellM10,ENSG00000114767,RRP9,Bcell
34,BcellM10,ENSG00000136490,LIMD2,Bcell
35,BcellM10,ENSG00000115504,EHBP1,Bcell
36,BcellM10,ENSG00000010361,FUZ,Bcell
37,BcellM10,ENSG00000063245,EPN1,Bcell
38,BcellM10,ENSG00000070950,RAD18,Bcell
39,BcellM10,ENSG00000196466,ZNF799,Bcell
40,BcellM10,ENSG00000189050,RNFT1,Bcell
41,BcellM10,ENSG00000171604,CXXC5,Bcell
42,BcellM10,ENSG00000100852,ARHGAP5,Bcell
43,BcellM10,ENSG00000140988,RPS2,Bcell
44,BcellM10,ENSG00000086848,ALG9,Bcell
45,BcellM10,ENSG00000100983,GSS,Bcell
46,BcellM10,ENSG00000138386,NAB1,Bcell
47,BcellM10,ENSG00000159720,ATP6V0D1,Bcell
48,BcellM10,ENSG00000122741,DCAF10,Bcell
49,BcellM10,ENSG00000072958,AP1M1,Bcell
50,BcellM10,ENSG00000100982,PCIF1,Bcell
51,BcellM10,ENSG00000181038,METTL23,Bcell
52,BcellM10,ENSG00000119231,SENP5,Bcell
53,BcellM10,ENSG00000110713,NUP98,Bcell
54,BcellM10,ENSG00000174197,MGA,Bcell
55,BcellM10,ENSG00000221817,RP11-137L10.6,Bcell
56,BcellM10,ENSG00000139197,PEX5,Bcell
57,BcellM10,ENSG00000090857,PDPR,Bcell
58,BcellM10,ENSG00000031823,RANBP3,Bcell
59,BcellM10,ENSG00000167384,ZNF180,Bcell
60,BcellM10,ENSG00000127989,MTERF,Bcell
61,BcellM10,ENSG00000151835,SACS,Bcell
62,BcellM10,ENSG00000136286,MYO1G,Bcell
63,BcellM10,ENSG00000160813,PPP1R35,Bcell
64,BcellM10,ENSG00000216937,CCDC7,Bcell
65,BcellM10,ENSG00000013583,HEBP1,Bcell
66,BcellM10,ENSG00000172493,AFF1,Bcell
67,BcellM10,ENSG00000241360,PDXP,Bcell
68,BcellM10,ENSG00000104529,EEF1D,Bcell
69,BcellM10,ENSG00000169696,ASPSCR1,Bcell
70,BcellM10,ENSG00000137207,YIPF3,Bcell
71,BcellM10,ENSG00000092871,RFFL,Bcell
72,BcellM10,ENSG00000163939,PBRM1,Bcell
73,BcellM10,ENSG00000138814,PPP3CA,Bcell
74,BcellM10,ENSG00000159459,UBR1,Bcell
75,BcellM10,ENSG00000072818,ACAP1,Bcell
76,BcellM10,ENSG00000173153,ESRRA,Bcell
77,BcellM10,ENSG00000135537,LACE1,Bcell
78,BcellM10,ENSG00000072803,FBXW11,Bcell
